cmc_id,symbol,name,chainid,address,verified,contract,is_proxy,ch1,ch1_event,ch1_logs,ch1_firstblock,ch3,ch3_event,ch3_logs,ch3_firstblock,ch2
2538,NEC,Nectar,1,0xcc80c051057b774cd75067dc48f8987c4eb97a5e,True,NEC,0,-,,,,-,,,,Transfer(universal)
2545,ABT,ArcBlock,1,0xb98d4c97425d9908e66e53a6fdf673acca0be986,True,ArcBlockToken,0,-,,,,-,,,,Transfer(universal)
2559,AUTO,Cube,1,0x622dFfCc4e83C64ba959530A5a5580687a57581b,True,Token,0,-,,,,-,,,,Transfer(universal)
2576,TEN,Tokenomy,1,0xdd16ec0f66e54d453e6756713e533355989040e4,True,TenToken,0,-,,,,-,,,,Transfer(universal)
2586,SNX,Synthetix,1,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,True,ProxyERC20,0,-,,,,-,,,,Transfer(universal)
2593,DRG,Dragon Coins,1,0x814f67fa286f7572b041d041b1d99b432c9155ee,True,Dragon,0,-,,,,-,,,,Transfer(universal)
2620,SWTH,Carbon Protocol,1,0xb4371da53140417cbb3362055374b10d97e420bb,True,SwitcheoToken,0,-,,,,-,,,,Transfer(universal)
2700,CEL,Celsius,1,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,True,CelsiusToken,0,-,,,,-,,,,Transfer(universal)
2726,GEN,DAOstack,1,0x543ff227f64aa17ea132bf9886cab5db55dcaddf,True,DAOToken,0,-,,,,-,,,,Transfer(universal)
2765,XYO,XYO,1,0x55296f69f40ea6d20e478533c15a6b08b654e758,True,TokenERC20,0,-,,,,-,,,,Transfer(universal)
2772,DGTX,Digitex,1,0xc666081073e8dff8d3d1c2292a29ae1a2153ec09,True,DGTXToken,0,-,,,,-,,,,Transfer(universal)
2778,EXC,Eximchain,1,0x00c4b398500645eb5da00a1a379a88b11683ba01,True,EximchainToken,0,-,,,,-,,,,Transfer(universal)
2826,ZIP,Zipper,1,0xa9d2927d3a04309e008b6af6e2e282ae2952e7fd,True,HumanStandardToken,0,-,,,,-,,,,Transfer(universal)
2873,MET,Metronome,1,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,True,Metronome2,0,-,,,,ERC20Votes,"DelegateVotesChanged(address,uint256,uint256)",666,15778962,Transfer(universal)
2930,IQ,IQ,1,0x579cea1889991f68acc35ff5c3dd0621ff29b0c9,True,IQERC20,0,-,,,,-,,,,Transfer(universal)
2933,BMX,BitMart Token,1,0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,True,BMC,0,-,,,,-,,,,Transfer(universal)
2937,VITE,VITE,1,0xadd5e881984783dd432f80381fb52f45b53f3e70,True,ViteToken,0,-,,,,-,,,,Transfer(universal)
2945,BOX,ContentBox,1,0x63f584fa56e60e4d0fe8802b27c7e6e3b33e007f,True,BOXToken,0,-,,,,-,,,,Transfer(universal)
2982,MVL,MVL,1,0xa849eaae994fb86afa73382e9bd88c2b6b18dc71,True,MVLToken,0,admin/vesting-lock(not conviction),,,,-,,,,Transfer(universal)
3053,YOU,YOU COIN,1,0x34364BEe11607b1963d66BCA665FDE93fCA666a8,True,YOUToken,0,-,,,,-,,,,Transfer(universal)
3083,LINA,LINA,1,0xc05d14442a510de4d3d71a3d316585aa0ce32b50,True,TokenERC20,0,-,,,,-,,,,Transfer(universal)
3139,DX,DxChain Token,1,0x973e52691176d36453868D9d86572788d27041A9,True,DxToken,0,-,,,,-,,,,Transfer(universal)
3155,QNT,Quant,1,0x4a220e6096b25eadb88358cb44068a3248254675,True,StandardToken,0,-,,,,-,,,,Transfer(universal)
3296,MIN,MINDOL,1,0x5d64d850c8368008afb39224e92ad0dceff3cf38,True,TokenERC20,0,-,,,,-,,,,Transfer(universal)
3325,ROX,Robotina,1,0x574f84108a98c575794f75483d801d1d5dc861a5,True,RoxToken,0,-,,,,-,,,,Transfer(universal)
3367,CRD,CryptalDash,1,0xcaaa93712bdac37f736c323c93d4d5fdefcc31cc,True,CRDToken,0,-,,,,-,,,,Transfer(universal)
3418,META,Metadium,1,0xde2f7766c8bf14ca67193128535e5c7454f8387c,True,Metadium,0,-,,,,-,,,,Transfer(universal)
3475,BOX,BOX Token,1,0xe1A178B681BD05964d3e3Ed33AE731577d9d96dD,True,BOX,0,-,,,,-,,,,Transfer(universal)
3515,DEX,DEX,1,0x497bAEF294c11a5f0f5Bea3f2AdB3073DB448B56,True,ZeppelinCoin,0,-,,,,-,,,,Transfer(universal)
3637,AERGO,Aergo,1,0x91af0fbb28aba7e31403cb457106ce79397fd4e6,True,AergoErc20,0,-,,,,-,,,,Transfer(universal)
3748,HXRO,Hxro,1,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,True,HxroTokenContract,0,-,,,,-,,,,Transfer(universal)
3814,CELR,Celer Network,1,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,True,CelerToken,0,-,,,,-,,,,Transfer(universal)
3835,ORBS,Orbs,1,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,True,OrbsToken,0,-,,,,-,,,,Transfer(universal)
3840,FST,1irstcoin,1,0x310c93dfc1c5e34cdf51678103f63c41762089cd,True,MainToken,0,admin/vesting-lock(not conviction),,,,-,,,,Transfer(universal)
