cohort,project,month,pq_usd,tvl_usd,turnover
PERPETUAL,gmx,2024-02,1377125385.208758,656077124.0,2.0990297250613454
PERPETUAL,gmx,2024-03,2306841925.6881275,600234282.0,3.8432358745016293
PERPETUAL,gmx,2024-04,1209135728.398304,491341131.0,2.4608884787182697
PERPETUAL,gmx,2024-05,921075611.6383519,541628229.0,1.7005679584664926
PERPETUAL,gmx,2024-06,448607009.1898812,514457987.0,0.8719993090317815
PERPETUAL,gmx,2024-07,681841054.5575978,590571594.0,1.1545442779247486
PERPETUAL,gmx,2024-08,467337239.8470748,479639683.0,0.9743506561509315
PERPETUAL,gmx,2024-09,304317790.6592365,460811335.0,0.6603956273324667
PERPETUAL,gmx,2024-10,158827993.0001466,487054307.0,0.3260991448334458
PERPETUAL,gmx,2024-11,460071970.23001283,660521271.0,0.6965286213016035
PERPETUAL,gmx,2024-12,354251441.3515349,522267060.0,0.67829558569429
PERPETUAL,gmx,2025-01,305744884.55332714,529700152.0,0.5772036942011811
