cmc_id,symbol,chainid,address,holder_count,est_transfers,est_getlogs_calls
17704,MV,1,0xAE788F80F2756A86aa2F410C651F2aF83639B95b,1037,41480,83
29160,HTX,1,0x61ec85ab89377db65762e234c946b5c25a56e99e,1053,42120,84
38786,syrupUSDT,1,0x356b8d89c1e1239cbbb9de4815c39a1474d5ba7d,1072,42880,86
5186,XT,1,0xef65887a05415bf6316204b5ffb350d4d1a19bba,1084,43360,87
3916,THX,1,0xf08c68bd5f4194d994fd70726746bf529ee5a617,1086,43440,87
4469,MB,1,0x8d8129963291740dddd917ab01af18c7aed4ba58,1091,43640,87
28367,IPV,1,0x3E2c956b4Ab4807B2f942235c9074d9BD069e9f0,1103,44120,88
10759,DVF,1,0xdddddd4301a082e62e84e43f474f044423921918,1108,44320,89
37006,SPYX,1,0x90a2a4c76b5d8c0bc892a69ea28aa775a8f2dd48,1121,44840,90
3753,PLTC,1,0x429D83Bb0DCB8cdd5311e34680ADC8B12070a07f,1180,47200,94
1153,CRB,1,0xAef38fBFBF932D1AeF3B808Bc8fBd8Cd8E1f8BC5,1186,47440,95
3826,TOP,1,0xdcD85914b8aE28c1E62f1C488E1D968D5aaFfE2b,1202,48080,96
